Id	Question	Difficulty	Freqency	Data Structures	Algorithms																																			
98	Validate Binary Search Tree	3	5	tree	dfs	"即如果一棵二叉树是BST，那么它的中序遍历是一个递增的数组。所以可以对中序遍历算法稍加修改，static int lastVisit=Integer.MIN_VALUE;   public boolean isValidBST(TreeNode root) { if(root==null){ return true;}   if(!isValidBST(root.left)){return false;}//从左子树最左节点开始   if(root.val<=lastVisit){return false;}      lastVisit=root.val;//中间结点   if(!isValidBST(root.right)){return false;}//右子树最左开始    return true;}"																																		
125	Valid Palindrome	2	5	string	two pointers	"2个指针从头++尾巴--开始对比，然后要处理非字母和数字的字符 可以先tolowercase 然后 ((temp.charAt(start) >= '0' && temp.charAt(start) <= '9') || (temp       .charAt(start) >= 'a' && temp.charAt(start) <= 'z'))"																																		
127	Word Ladder	3	5	graph	"bfs	 shortest path"	因为每次只能在词里改一个字母，我们先把start放到一个queue里（可以用linkedlist实现 然后另外一个linkedlist存Integer的distance）然后只要queue里还有词。我们把词取出来，从首字母for循环遍历到尾巴字母，里面再一个循环 每个字母(char temp='a';temp<='z';temp++) 从A遍历到Z 然后再转回string看看字典里有没有，字典里面有再放入word的那个的queue 以此循环 直到==end 或者wordqueue空了返回0																																		
2	Add Two Numbers	3	4	linked list	"two pointers	 math"	"每个result node的值value等于l1和l2的值+上一次操作带来的carry的值  然后result.next=ddTwoNumbers(l1 == null ? null : l1.next	l2== null ? null : l2.next	carry); 记得当中carry 赋给value后要归零。 然后三个参数都为null的时候表示result 这个linkedlist该结束了 return null"																																		
12	Integer to Roman	3	4		math	"1.先准备词库（数字和string都从大到小） 2. for(int i=0;i<values.length;i++){     while(num>=values[i]){      num=num-values[i];      resultBuilder.append(numerals[i]);   }    }"																																		
13	Roman to Integer	2	4		math	"1.先准备一个swtich case的方法 比如 switch(c){   case 'I': return 1;        case 'V': return 5; 等。。2.然后这题和上一题稍稍不同的地方那个是 罗马字符如果 如果后一位比前一位大这一段的值应该是当前这个值减去上一个值。比如IV = 5 – 1如果不是就正常加 所以 在遍历string时候要 if(i>0&&getChar(array[i])>getChar(array[i-1])){     result=result+(getChar(array[i])-2*getChar(array[i-1]));    }else{//正常换算 计数    result=result+getChar(array[i]);"																																		
22	Generate Parentheses	3	4	string	dfs	"三条基本逻辑1.左括号和右括号要数量相等 2.左括号没用完可以一直用 3.剩下的右括号数量比剩下的左括号多的时候可以用右括号  用recursive做                                                              if(l>0){ str[count]='(';printpar(l-1	 r	 str	 count+1	result); }                                                              if(r>l){     str[count]=')';    printpar(l	 r-1	 str	 count+1	result);                                                           当l==r==0时候 吧str加到arraylist里"																																		
23	Merge k Sorted Lists	3	4	"linked list	 heap"	"sort	 two pointers	 merge"	"类似于外排序，每次先把每个Lists的第一位拿出来比 然后那个list小 就“剪切”到结果	直到每个list都走完. 注意如果用foreach的话 某个Linkedlist走到头了还是会遍历 null 所以要加if（！null）.还有，再剪切的时候 不要用foreach  用 for (int i = 0; i < lists.size(); i++) {       if (lists.get(i) != null && lists.get(i).val == min ) {           lists.set(i	 lists.get(i).next);//真正的改这个Linkedlist 不是改什么“临时变量”           break;   }"																																		
24	Swap Nodes in Pairs	2	4	linked list		（ 1->2->3->4 变 2->1->4->3）先来三个reference 分别指向linkedlist 的第123个元素，然后while循环 正常换位置p2.next=p1; (  if ((p3 == null) || (p3.next == null)) break )else{ p1.next=p3.next 1->4}…然后要做一件丧心病狂的事情 p1=第三位（3），p2=3.next （4）p3=3.next.next （5）一直while循环 直到被break																																		
27	Remove Element	1	4	array	two pointers	"两个指针 I j 都从0开始， while(j<A.length){   if (A[j]!=elem) {   A[i]=A[j];      i++;}  //i永远《=j    j++;}//当A[J]==elem的时候 i不++ 只有j++ 所以这样最后不等于elem的元素数就是I "																																		
46	Permutations	3	4	array	permutation	"递归解决 比方说123 第一层先保留1 把23传给递归下一层 然后第二层吧2留下 把3个传给第三层，然后当num==1时候直接返回给上一层	然后上一层把保留的2插到3的前后，就有了23 32 然后再返回给第一层，第一层再把1插入到 2 3 3 2的各个位置;      ArrayList<ArrayList<Integer>> retrieving = permute(numless);                                                                                                                     for (ArrayList<Integer> combo : retrieving) {    ArrayList<Integer> tep=(ArrayList<Integer>) combo.clone();    for (int i = 0; i < combo.size() + 1; i++) {    combo.add(i	 currentFirst);     result.add(combo);     //这样每个combo进第二个for循环加current的时候，备份一次，就避免了加current后引起的combo.size变化 导致的错误     //为什么 不是remove i 呢 因为可能会引发内部的优化的错误 可能会报错。  combo = (ArrayList<Integer>) tep.clone();}} "	为何我eclipse跑出来对的但是oj不对呢？难道是clone的问题？ 等老司机指点																																	
49	Anagrams	3	4	"string	 hashtable"		"//就是给你n个string 然后返回里面互为anagram的词 比方说 abc def bca 就返回 abc bca //不要陷入误区 不用写判断2个string是否为anagram的方法                                                              //首先 遍历数组 然后再循环里把每个词排序，然后建一个hashmap<String，arraylist>key是sorted后的string	value是 Arraylist<String> 存放互为anagram但是的原始string                          （//比方说 key： abcd  value里是 bcda  和 dbca）.                                                                                                 最后遍历这个map的keyset 来get value （是arraylist）如果arraylist的size>1 就说明有词互为anagram 就add到result里"																																		
67	Add Binary	2	4	string	"two pointers	 math"	"/不能用系统自带的 Integer.parseInt(a	 10);  因为如果string超过32位就溢出int了  //可以用string buffer做(像linkedlist add 那题一样） 本位value和进位 carry                                                                  // 因为 要从低位加到高位 所以 应该从string的最后位往前面加 然后把value append一个stringbuffer里就可以了                                    ///！！判断二进制加法后是0还是1  // carry位是/2  value位数%2  // eg:1+1=2  2/2=1  所以carry位是1    2%2=0 所以value位是0                                                                                              //value=(((a.charAt(firstLen)-'0')+(b.charAt(secondLen)-'0'))+carry)%2;   carry=((a.charAt(firstLen)-'0')+(b.charAt(secondLen)-'0')+carry)/2;"																																		
69	Sqrt(x)	4	4		binary search	//两分法。原因就是：要求x的平方根，在假定x为正整数的情况下，那么它的结果一定在0到x之间，而二分查找法一定不会漏掉。//因为 low high mid都是整数 所以当最后low high 相差很小的时候还乘不上的话   //就逼近的返回他们的平均值     mid=(low+high)/2;																																		
77	Combinations	3	4		combination	"用   for(int i=level;i<n;i++){      temp.add(i+1);      subsetsRecord(result	 temp	 n	 k	 i+1); //这个循环的详细理解见eclipse         temp.remove(temp.size()-1);}来一直操控 temp 然后当temp.size==k的时候就 result.add(new ArrayList<Integer>(temp));"																																		
78	Subsets	3	4	array	"recursion	 combination"	"和CC8_3是一样的 通过recursive来做。EG: 请注意 这题是组合 不是排列。(假设 给的int[]是『1，2，3，4』) 每次都是把数组的[0]留下 然后把[1…n]递归下去，直到最后只有一个数了（List.size=index）然后此时返回一个result arraylist<ArrayList<Integer>>[4][空] 然后返回给上层 上层3再在上面返回来的2个arraylist<Integer> 里面每个都加上3，再加到result里 所以此时result里就有[3	4][3][4][空]再返回给上层2	然后2把所有arraylist[Integer]里面都插入2 （当然 原始返回上来的那些元素都保留的 ）此时 result里 [2，3	4][2 3][24][2 ][3	4][3][4][空] 然后 1再以此类推"																																		
79	Word Search	3	4	array	dfs	"先遍历这个board找第一个char 然后如果找到再递归找上下左右 传word。substring（1）.但是递归调用的子方法 孙方法有许多 都返回boolean值	怎么处理呢？ 可以在父方法里 if(子方法返回的boolean){return true;}   DFS"																																		
91	Decode Ways	3	4	string	"recursion	 dp"	"iterator和dp-recursive一样 先确定base-case然后在遍历下去 ||||||做法2	假如不用recursive 用iterator的话 效率更好。我先建一个int[]存“在这个string里从0位到当前char位已经有的decode方法”（比方说 f（n）就是0到N位时候有多少种deocde方法）  我从左到右把这个String遍历过去（iterator），然后挨个检查 写个方法当前1位和当前2位，是否valid 。                                          if (isValidDecoding(s.substring(i - 1	 i))) {    f[i] = f[i - 1];}    if (isValidDecoding(s.substring(i - 2	 i))) {    f[i] = f[i] + f[i - 2];   }//解释详见eclipse"																																		
102	Binary Tree Level Order Traversal	3	4	tree	bfs	这题的重点就是 queue 和每次吧一层放进一个arraylist 首先java的queue是接口 可以由linked list实现 然后add就是enqueue remove()就是 dequeue。 然后 // 取while !queue.isEmpty()循环的current size。。 一开始是root第一层 然后root deque  dequeue的时候会把第二层全放进queue 这时候while结束 第二次 deque第二层 放第三层 while第三次deque第三层 放第四层 所以每个while循环刚开始的时候queue里只有一层 那么我就for循环currentsize次 然后就可以正好把本层的元素都放回arraylist里 然后再进行下一个while循环 																																		
129	Sum Root to Leaf Numbers	2	4	tree	dfs	1.首先 root是1 root.left是2 然后是12 完全可以不用stringbuffer 用上层×10+本层就可以  然后就是dfs 循环递归调用sum（root，int temppath）如果root没有左右子节点了表示 已经加到path底了 就加到result里 2.如果有子节点 就递归调用sum（root.left/right，pathsum*10+root.val） 注意后面这个int的参数就是相当于 上层x10+本层 符合（1-2-4 =》10x2=12》12×10+4=124）																																		
131	Palindrome Partitioning	3	4	string	dfs	"1.先写个方法判断1个string是不是回文 用 头尾往中间比的方法  isPalin(String s	int i	 int j)                                                    2.再用 dfs(String s	int start	ArrayList<String> al) 递归加循环 当start等于string长度时候表示string已经用完 就add到结果 2.在for循环里 int i=start+1;i<=s.length();i++| if(isPalin(s	start	i-1)是回文就把这段粘帖到AL里 然后递归调用  dfs(s	 i	 al); 然后因为al已经把这个回文传递给递归参数了，所以 al.remove(al.size()-1); 回到没加的状态再下一轮for循环"	本题用dp也行 参考 135硬币组成N分																																	
4	Median of Two Sorted Arrays	5	3	array	binary search or mergesort	因为2个数组都是sorted 所以用类似merge sort的做法来做。 当然你不用建一个新数组 你只要  while (pa指针 + pb指针 != (a.length + b.length + 1) / 2)  这样不用像mergesort一样管那个数组空了 跳出的时候就在中位 然后再判断总元素数量是奇数还是偶数就行。奇数就直接取median 偶数 就是a[pa] B[pb]那个小 那个做median2 然后再+median  除2																																		
7	Reverse Integer	2	3		math	"int res = 0;               一开始res是0       每次都把上次的结果×10+ x的最后一位 然后x再除10   while (x != 0) {    res = res * 10 + x % 10;    x = x / 10;  }"																																		
10	Regular Expression Matching	5	3	string	"recursion	 dp"	" 递归调用   private boolean isM(String s	String p	int i	int j)  //i j 表示 目前检查到s的i位和p的j位 然后先不检查有""char+*"" bundle 的情况 。先用几个并列的if检查1.  //j>p.length() p已经走完 s有无走完啊？  2. if(j==p.length()-1){ //当p检查到最后一个char时候 s是不是到最后了啊，最后一个批不匹配啊？3. if (j+1<p.length()&&p.charAt(j+1)!='*')  之前的那些位再后面位不是*的时候和s match不match 啊。如果这char匹配上了 就  return isM(s	 p	 i+1	 j+1);                                       然后 因为下一位不是*的情况都已经被if拦截掉了 开始处理“char+*” bundle  当能进这个if块 说明第一个char能匹配上然后p第二个char是*.                                                                                         // 如果下一个字符(j+1)是* 且 当前字符不匹配，就不进while块 则pattern跳过两个（就好比 c*a*b 跳过c*），继续比较 后面     // 还有一种情况到这里是上面的最后一次尝试（i==s.length()）     return isM(s	 p	 i	 j+2);while(i<s.length()&&j<p.length()&&(s.charAt(i)==p.charAt(j)||p.charAt(j)=='.')  所以遍历s的i位到最后位   if(isM(s	 p	 i	 j+2)){  return true;   }   i++;"	" // 题意一定要理解清楚	x*是一个在一起的bundle，a* 的意思 是 “a*” 整个 可以代表0~n个 a // 比方说 //isMatch(""aab""	 ""c*a*b"") →  c*可以代表 0个c a*代表 2个a 所以 aab 就完全匹配上了 //后面那个string只要包含前面那个就可以 //要p (pattern)完整包含 s 不能分两段包含"																																	
17	Letter Combinations of a Phone Number	3	3	string	dfs	"先建立一个词库String[] 0 1 对应“” 然后其他数字分别对应相应String  访问下标就能访问相应string 然后dfs 循环加递归 dfs(ArrayList<String> result	int remain	 String[] dict	String digits	 StringBuffer sb)  结束条件是 remain为0，然后递归一次是用掉一个数字，循环它的所有对应char  循环里面再递归调用 本char+数字位数substring（1）"	和九章算法模板一样																																	
19	Remove Nth Node From End of List	2	3	linked list	two pointers	（ 1->2->3->4 变 2->1->4->3）先来三个reference 分别指向linkedlist 的第123个元素，然后while循环 正常换位置p2.next=p1; (  if ((p3 == null) || (p3.next == null)) break )else{ p1.next=p3.next 1->4}…然后要做一件丧心病狂的事情 p1=第三位（3），p2=3.next （4）p3=3.next.next （5）一直while循环 直到被break	有些（对这题是optional）注意：要弄个dummy head 来处理某些特殊情况 dh.next=head 最后return dh。next																																	
26	Remove Duplicates from Sorted Array	1	3	array	two pointers	2个指针快慢遍历，当i（快）扫到2个相邻的不一样时候index（慢） 才动 																																		
29	Divide Two Integers	4	3		"binary search	 math"	"1.   //返回的是int 所以去掉小数 2	 (dividend < 0) ^ (divisor < 0)判断正负3. 双层while循环Nlogn  外层就是初始count=1 初始sum等于除数 然后内层就是当2sum小于等于被除数时候 sum翻倍 count翻倍 然后一直2 4 8倍lgn的比法和 让2sum和A去比 跳出内循环时候 是 sum>=a/2  然后把count加到finalcount里去 把a-sum剩下的继续while大循环"																																		
33	Search in Rotated Sorted Array	4	3	array	binary search	九章算法的BS模板来做 --改动 这题无非是吧一个 递增的数组切成2段 前半段高 递增，后半段低 但是也递增。而关键就是在mid=start + (end - start) / 2; 这个mid切在第一段还是第二段。如果他切在第一段并且start<=target<=mid 则说明在前四分之一直接bs即可。Else就是在后四分之三 start=mid 。反之如果mid在第二段 如果mid<=target<=end 就是在后四分之一直接bs else就是在前四分之三 然后||不管是前后那个四分之三  mid都会被重新计算 然后最后会往当中逼近  最后像模板一样2个if检查即可																																		
34	Search for a Range	4	3	array	binary search	"九章算法的BS模板来做  //用2次BS 一次找左下标 一次找右下标 //怎么保证找到的是最左/最右呢？   //比方说找左就是在A[mid]=target时候 end=mid 这样就保证在答案范围内mid越来越左边 直到start+1<end 跳出 // 最后在检查if的时候start就是result[0].。除非此时start不是了 那么说明只有一个数字符合答案 就是A[end]=end    // 反之亦然"																																		
39	Combination Sum	3	3	array	combination	"九章的permutation/subsets模板	 需要改的地方有2个 1. 因为 一个元素可以重复使用，所以 递归的时候 不是+1 而是就是本循环的在数组里的index继续递归。2.怎么去掉重复的解呢?在for循环里 每次递归完后 （表示本支dfs已经完了）prev = candidates[i]; 然后下一次for循环的时候   if (prev != -1 && prev == candidates[i]) { continue;}  如果下一个元素和前一个元素一样 就continue 然后i++"	"  // 去重复 这个去重是怎么工作的呢，比方说数组是{2	2	4	4} 然后target是6.    // 如果出了第一个2 第一个4 	 如果再来第二个2 第一个4   不就是 2个{2	4}重复了么    // 注意这个 prev = candidates[i];是在递归方法之后的就是 第一次dfs全部遍历完了 就是第一个2+后面元素可能的解 已经都有的时候     // 如果第二次for循环 i=1的时候 candidates[1]==prev 还是2 那么 这个 2和后面 元素组合的可能的解 和第一个元素出来的解都是重复的    // 所以就直接continue了 "																																	
43	Multiply Strings	4	3	string	two pointers	"1 翻转string 2 建立数组，双层循环遍历两个string，把单位的乘积累加到数组相应的位置 3 处理进位并输出 4 注意前导零的corner case                                                                                  //  一般乘法    21×31 //   反转后     12 //                   13 //        --------------- //                   36 //                 12 // ----------------------- //                 156   //  又 d[i+j]=d[i+j]+(num1.charAt(i)-'0')*(num2.charAt(j)-'0'); //      所以 d[1]=d[1][0]+d[0][1]=3×1+1×2=5  // d[i]=正常乘法后第i本位之和  (没有进位)"	"for(int i=0; i<d.length; i++){       int digit = d[i]%10;        // 当前本位       int carry = d[i]/10;        // 进位 .如果d[i]>0的话 会有进到前面位去      if(i+1<d.length){           d[i+1] += carry;      }       sb.insert(0	 digit);        // 因为前面反转了 num1	2 所以 每次都把当本位  插入stringbuilder的第0位 然后越后面的插到最前面 }     最后再把 sb前面外的一些0去掉"																																	
44	Wildcard Matching	5	3	string	"recursion	 dp	 greedy"																																			
51	N-Queens	4	3	array	dfs	"cc原题8皇后 dfs 循环里有递归。 循环遍历的是每行的column 递归的是从上一行可以放queen的位置递归row+1  麻烦的部分就是用String[]输出queen布局，因为他要用以为数组输出 那我就先设一个int[n] QueenList的棋盘 0～n是row 然后QueenList[i]的值就是第i行的queen的column位置 然后再根据i和 QueenList[i] 在一个stringbuffer数组里按照要求放置…Q..  sol[i].setCharAt(queenList[i]	 'Q');  //sol是 stringbuffer数组"																																		
52	N-Queens II	4	3	array	dfs	和上体完全一样 就是不返回ArrayList<String[]> 而是返回排列数量 return result.size																																		
53	Maximum Subarray	3	3	array	dp	"//cc 原题 19.7  //因为题目要求找连续子序列 就是说这些要连续的。 O（n）就做出来  //当加到a[i]时候 如果当前sum小于0 就把0-i都扔掉 重新加起 //然后每次当currentSum大于maxSum的时候更新maxSum	这样 在过程当中最大的maxSub就会被保留 // 注意要考虑 只有负数的情况 所以 要先和maxsum判断 在和大于小于0判断"	这题据说很重要 cc原题19.7																																	
62	Unique Paths	2	3	array	dp	"cc原题  if(m==0&&n==0)return 1;// 为什么是x==0||y==0呢？因为走到边了只有只有沿着边走着一条路径了 所以return 1      return (uniquePaths(m-1	 n)+uniquePaths(m	 n-1));   //这做法是对的但是leetcode里会超时 "																																		
						"   做法2：因为题目告诉你mn不超过100，所以你可以预处理这个矩阵。（ways[m-1][n-1]储存的 00-mn的矩阵有多少种走法） 然后因为从00走到mn和mn走到00的path数 是一样的  所以题目里为了方便计算就设00为最后目的地。然后i0和0j就是顶点的2条边，所以只能沿着边走 。所以 ways[i][0]=ways[0][i]=1;  剩下的情况 //因为走到i j无非2种可能  从[i-1][j]走了一步过来     //或者从 [i][j-1]走了一步过来     //那么 无非是把他们2种的走过来的所有的情况加起来。 就是i j可能的unique path数量 2个forloop吧矩阵按这个公式天才 ways[i][j]=ways[i-1][j]+ways[i][j-1];  最后  return ways[m-1][n-1]     "																																		
63	Unique Paths II	3	3	array	dp	和上题做法而一样 预处理一个矩阵，然后预处理时候考虑obstacle ，处理方法： 在预处理矩阵里 如果某点不可以走 这点就是0，其他和上题一样。先处理00 在检查[m-1][n-1] (如果终点有障碍 1个path都没)  然后边上处理 如果边上有一个0 那么后面就都是0（11110000），最后再像 上一题一样处理矩阵。从左和从上加，但是 只有上路和左路不是0的时候才加																																		
64	Minimum Path Sum	3	3	array	dp	"九章DP模板 matrixDP 预处理矩阵。最后返回sum[rows-1][cols-1]  sum这个矩阵里每一格都存左上走到这步所需的最少sum。  1.先initial 两个边  sum[0][col] = sum[0][col - 1] + grid[0][col]; 然后2.DP (双重循环 然后    sum[row][col]=Math.min(sum[row-1][col]	sum[row][col-1])+grid[row][col];) Math.min的存在 有因为 只能从左上到右下，所以当前格子的sum. 是到我这个节点最少的path "																																		
72	Edit Distance	4	3	string	dp	  2 sequence dp 二维Dp|预处理矩阵|比方说a换到bbc就是3次。 a换b 加一个b 再加一个b                                                   这题思路和机器人左上到右下是一样的  预处理矩阵 你可以想象在一个矩阵里 word1是i长度 word2 是j长度 那么矩阵里 matrix[i][j]的值就是 word1 i位到word2 j位变换的距离 那比方说 矩阵里[i-1][j-1]就是 word1 i-1位到word 2 j-1位变换的次数（distance） 那么 预处理完这个矩阵后到时候只要return 会矩阵的值就可以 （如果word1某位和word2某位的字符是一样的 那么 就不用操作）	"//  那么结果就是distance[4][4] 就是bbbb""	 ""aaaa"" //0 1 2 3 4  //1 1 2 3 4  //2 2 2 3 4  //3 3 3 3 4  //4 4 4 4 4 "																																	
74	Search a 2D Matrix	3	3	array	binary search	"cc原题 因为matrix 是下一行第一个肯定比上一行最后一个 然后每行都sorted过                        思路就是因为每行最后是最大 所以key和每行最后比（while不超过matrix界限） 用 if else if  else判断  如果等于就是true   // 如果target比row最后大 就说明 在 target可能在下一行 所以currentRow++   // 如果target比row最后小 就说明target可能在本行 所以currentColumn--   // 跳出while了 还找到就是false                                                                                                           //做法二 降维然后当做一维数组   //把这个二维数组拉成1维  1 2    //                                                                                              3 4     //变成 1 2 3 4 后 还是sorted的  所以可以正常binary search   start=0; int end=rows*cols-1; 然后mid start end 就等于是在1维数组里 和target比大小时候                                                                 //把1维的 index重新映射到2维上   if(matrix[mid/cols][mid%cols]==target)"	" while (start <= end) {              int mid = (start + end) / 2;             // Tricks to treat it as a 1-D array             int digit = matrix[mid / cols][mid % cols];             if (target == digit) {                 return true;             } else if (target > digit) {                 start = mid + 1;             } else {                 end = mid - 1;"																																	
81	Search in Rotated Sorted Array II	1	3	array	 	因为是rotated 又是有重复 所以基本没法用bs了 所以就是遍历数组找target																																		
82	Remove Duplicates from Sorted List II	3	3	linked list	"recursion	 two pointers"	"1个dummyhead.next=4指针 pre(最后去完重的链表的头节点)  realpre curr next   3个node都往右，  我们先用非编程的思想考虑问题。只有完全唯一的node才能保留，那么 这个node （假设不是最前或者最后）他要和前后node都不一样才可以视作唯一（pre curr next依次平移检查）(第一次比较的初始状态就是dummyhead	head	head.next)。那么我们可以拿不断平移的node来检查哪些node是eligibal的。出循环后（pre.next=null;防止还连着老链表）最后再检查尾巴。   在返回dummyhead.next"																																		
83	Remove Duplicates from Sorted List	1	3	linked list		双指针 快慢， 快的每回合都走一步 慢的只有在快慢不等的时候才后移一位然后把快的val复制过来 然后当快的走到底的时候慢的直接 慢.next==null	"while (current != null) {    if (prev.val != current.val) {     prev = prev.next;     prev.val = current.val;}    current = current.next;}"																																	
86	Partition List	3	3	linked list	two pointers	"//四指针 一开始 left leftDM right rightDM 都是纯dummy 然后 while (head != null) {    if (head.val < x) {    left.next = head;    left = head;      } else {    right.next = head；    right = head;   }    head = head.next;  } 这样dummy只有第一次会被赋值成head 然后当left/right引用被改成指向head得到时候再改left就不会影响dummy了。这么走的话left会把所有比x小的连起来 right会把所有>=x的连起来 (见右图) 最后 left.next=rightDym.next;连起来 并且 斩断right.next=null;        最后returnleftDym.next即可"	"//leftDym.next     left //        |                   | //        1 ->   2    -> 2  //rightDym.next     right //         |                     |  //         4 ->   3   ->   5"	" ListNode leftDummy = new ListNode(0);   ListNode rightDummy = new ListNode(0);   ListNode left = leftDummy;   ListNode right = rightDummy; //这时候 leftDummy和 left/ rightDummy和right是同一个对象    //然后当第一次进while循环的时候执行25或者28行，此时他们的.next都更新成当时的head   //然后left/right这个reference被改成head了	那么以后再对left.next/right.next改动都Ldummy/Rdummy无关了"																																
93	Restore IP Addresses	3	3	string	dfs	"九章的dfs模板 1.先检查 s的长度能不能组成合法ip 2.调用dfs方法                                                                                                         //                            temp    暂时存储未完整的IP(枝桠)                           //count ip 0段1 段 2段 3段       private void dfs(String s	String temp	ArrayList<String> result	int count){           结束条件 if(count==3&&isValid(s)){        result.add(temp+s);        return;}                                  //dfs     for(int i=1; i<4 && i<s.length(); i++){               String substr = s.substring(0	i);                                                                                                              //                               原string减去被用掉的  //空加上用掉的       //一共四段                                                                                                  if (isValid(substr)){    dfs(s.substring(i)	 tmp + substr + '.'	 res	 count+1);  } 然后在写个检查一段ip是否valid的方法 "																																		
94	Binary Tree Inorder Traversal	4	3	"tree	 hashtable"	"recursion	 morris	 stack"	"参考terry做法 用stack做，左中右的话 就是 先一直压左，然后 到底了就pop往右	然后 ，pop的时候加入结果。"																																		
103	Binary Tree Zigzag Level Order Traversal	4	3	"queue	 tree"	"bfs	 stack"	"// //2个stack 是怎么玩的呢 记住stack 特性 FILO //          1 //        2   3 //       4 5 6 7 // 此normal order是true 1pop 时候	2 3到nextlevel   //然后下一层normal order 是false 然后pop出来的顺序是 3，2 然后因为是反序	所以先push right 再push left //此时push的顺序就是7 6 5 4 然后pop的顺序就又是 4 5 6 7 加到本层结果里面 所有有正常了  "																																		
